IDTARIFAV,CODARTICULO,DESCRIPCION,REFPROVEEDOR,PBRUTO,DTO,PNETO,PBRUTO2,DTO2,PNETO2,PRICEDATE,CODALMACEN,STOCK,STOCKDATE
1,2,Guess Seductive Edt 75ml,3607341795724,13285.71,30,9300,13285.71,30,9299.997,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,3,Jaguar Woman Edt 75ml,3562700403101,11000,0,11000,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,4,Jaguar Classic Gold Edt 100ml,7640111493723,19166.67,40,11500,17833.33,40,10699.998,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,5,Jaguar Excellence Intense Edp 100ml,7640111493624,19166.67,40,11500,19166.67,40,11500.002,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,6,Jaguar Excellence Edt 100ml,7640111493617,19166.67,40,11500,17833.33,40,10699.998,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,7,Jaguar Classic Men Edt 100ml,3562700373084,40000,40,24000,0,0,0,2024-09-25 21:18:02.977,RE,0,2025-09-29 09:21:32.397
1,8,Jaguar Men Edt 100ml,3562700361005,19166.67,40,11500,17833.33,40,10699.998,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,9,Jaguar Classic Red Edt 100ml,7640111493693,17833.33,40,10700,17833.33,40,10699.998,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,10,Jaguar Vision Edt 100ml,7640111523086,40000,40,24000,0,0,0,2024-09-25 21:18:02.977,RE,0,2025-09-29 09:21:32.397
1,11,Jaguar Fresh Man Edt 100ml,3562700463082,13333.33,40,8000,13333.33,40,7999.998,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,12,Jaguar Prestige Spirit Edt 100ml,3562700484087,19166.67,40,11500,18333.33,40,10999.998,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,13,Jaguar Prestige Edt 100ml,3562700483080,16166.67,40,9700,13333.33,40,7999.998,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,14,Jaguar Fresh Woman Edt 100ml,3562700473081,11000,0,11000,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,15,Guess Marciano Men Edt 100ml,3607341792617,10285.71,30,7200,10285.71,30,7199.997,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,16,Guess Marciano Ladies Edp 100ml,3607341792471,10857.14,30,7600,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,17,Guess Seductive Homme Blue Edt 100ml,3607346255179,13800,0,13800,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,18,Guess Seductive I'm Yours Edt 75ml,3607340422539,28571.43,30,20000,25000,30,17500,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,19,Guess Girl Edt 50ml,3607346254776,9400,0,9400,10235.29,15,8700,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,20,Joop Homme Edt 75ml,3414206000592,6800,0,6800,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,21,Joop Go Electric Heat Edt 100ml,3414202610542,9800,0,9800,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,22,E.A Mediterranean Edp 100ml,085805063665,46000,50,23000,15500,0,15500,2024-09-25 21:18:02.977,RE,0,2025-09-29 09:21:32.397
1,23,E.A Splendor Ladies Edp 125ml,085805120900,34000,0,34000,12500,0,12500,2025-06-10 12:43:48.790,RE,13,2025-09-29 09:21:32.397
1,24,E.A True Love Ladies Edt 100ml,719346373906,28000,0,28000,11500,0,11500,2025-06-10 12:43:48.823,RE,0,2025-09-29 09:21:32.397
1,25,E.A Red Door Revealed Edp 25ml,085805025410,5500,0,5500,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,26,E.A Pretty Edp 100ml,085805506261,44000,0,44000,12000,0,12000,2025-06-10 12:43:48.823,RE,5,2025-09-29 09:21:32.397
1,27,E.A Sunflower Ladies Edt 100ml,085805757748,28000,0,28000,11500,0,11500,2025-06-10 12:43:48.823,RE,0,2025-09-29 09:21:32.397
1,28,E.A Red Door Revealed Edp 100ml,085805015268,46666.67,10,42000,14500,0,14500,2025-04-17 11:20:56.987,RE,0,2025-09-29 09:21:32.397
1,29,E.A 5th Avenue Nights Edp 125ml,085805086541,43333.33,10,39000,15500,0,15500,2025-04-17 11:20:56.987,RE,1,2025-09-29 09:21:32.397
1,30,E.A 5th Avenue Nights Edp 75ml,085805086534,7200,0,7200,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,31,E.A 5th Avenue After Five Edp 125ml,085805043476,41111.11,10,37000,15500,0,15500,2025-04-17 11:20:56.987,RE,5,2025-09-29 09:21:32.397
1,32,E.A Green Tea Scent Spray Edp 100ml,085805268848,15000,40,9000,9500,0,9500,2024-06-20 18:04:48.637,RE,0,2025-09-29 09:21:32.397
1,33,E.A Red Door Ladies Edt 100ml,085805558420,45000,0,45000,15500,0,15500,2025-06-10 12:43:48.823,RE,10,2025-09-29 09:21:32.397
1,34,E.Taylor Diamonds & Rubies Edt 100ml,719346450607,58000,50,29000,0,0,0,2024-09-25 21:18:02.977,RE,0,2025-09-29 09:21:32.397
1,35,E.Taylor Diamonds & Emeralds Edt 100ml,719346450508,23125,20,18500,21875,20,17500,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,36,E.Taylor Diamonds & Sapphires Edt 100ml,719346450409,58000,50,29000,0,0,0,2024-09-25 21:18:02.980,RE,2,2025-09-29 09:21:32.397
1,37,E.Taylor Forever Elizabeth Edp 100ml,719346013444,58000,50,29000,0,0,0,2024-09-25 21:18:02.980,RE,0,2025-09-29 09:21:32.397
1,38,E.A Red Door Aura Ladies Edt 100ml,085805144906,16500,0,16500,16000,30,11200,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,39,Joop Pour Femme Edt 100ml,3414206000059,46000,0,46000,45333.33,25,34000,2024-02-11 10:37:23.200,RE,0,2025-09-29 09:21:32.397
1,40,Joop Pour Homme Edt 125ml,3414206000608,48000,0,48000,46666.67,25,35000,2024-02-11 10:37:23.200,RE,0,2025-09-29 09:21:32.397
1,41,Kenneth Cole Black Ladies Edp 100ml,031655471709,47000,0,47000,28142.86,30,19700,2024-03-28 11:53:39.337,RE,0,2025-09-29 09:21:32.397
1,42,Kenneth Cole Reaction T-Shirt Edt 30ml,031655740089,7500,0,7500,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,43,Kenneth Cole Reaction Men Edt 100ml,031655481593,61666.67,40,37000,0,0,0,2024-09-25 21:18:02.980,RE,0,2025-09-29 09:21:32.397
1,44,Curve Chill Pour Homme Edt 125ml,098691037603,46666.67,40,28000,0,0,0,2024-09-25 21:18:02.980,RE,0,2025-09-29 09:21:32.397
1,45,Curve Connect Pour Femme Edt 100ml,098691046223,50000,60,20000,0,0,0,2025-04-17 09:33:40.380,RE,0,2025-09-29 09:21:32.397
1,46,Curve Kicks Ladies Edt 100ml,098691040658,50000,60,20000,0,0,0,2025-04-17 09:33:40.380,RE,0,2025-09-29 09:21:32.397
1,47,Curve Wave Pour Femme Edt 100ml,098691030475,50000,60,20000,0,0,0,2025-04-17 09:33:40.380,RE,0,2025-09-29 09:21:32.397
1,48,Curve Connect Pour Homme Edt 125ml,098691046254,50000,60,20000,0,0,0,2025-04-17 09:33:40.380,RE,0,2025-09-29 09:21:32.397
1,49,Curve Chill Pour Femme Edt 100ml,719346504911,61666.67,40,37000,0,0,0,2024-09-25 21:18:02.980,RE,0,2025-09-29 09:21:32.397
1,50,Curve Wave Pour Homme Edt 125ml,098691030482,50000,60,20000,0,0,0,2025-04-17 09:33:40.380,RE,0,2025-09-29 09:21:32.397
1,51,Bijan Nude Men Edt 75ml,603531633503,4600,0,4600,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,52,Bijan V.I.P Men Edt 75ml,603531644509,11857.14,30,8300,9714.29,30,6800.003,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,53,Bijan Nude Ladies Edt 75ml,603531633008,4600,0,4600,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,54,Bijan V.I.P Ladies Edt 75ml,603531644004,20000,40,12000,0,0,0,2024-09-25 21:18:02.980,RE,0,2025-09-29 09:21:32.397
1,55,Bijan Wicked Ladies Edt 75ml,603531621005,4600,0,4600,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,56,Lolita Lempicka Fleur De Corail Edp 50ml,3595200551126,17250,20,13800,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
